Suarez,0.015,40.886,40.886
Case,0.015,40.901,40.901
Petty,0.015,40.916,40.916
Gould,0.015,40.931,40.931
Mcfarland,0.015,40.946,40.946
Sampson,0.015,40.961,40.961
Carver,0.015,40.976,40.976
Bray,0.015,40.991,40.991
Rosario,0.015,41.006,41.006
Macdonald,0.015,41.021,41.021
Stout,0.015,41.036,41.036
Hester,0.015,41.051,41.051
Melendez,0.015,41.066,41.066
Dillon,0.015,41.081,41.081
Farley,0.015,41.096,41.096
Hopper,0.015,41.111,41.111
Galloway,0.015,41.126,41.126
Potts,0.015,41.141,41.141
Bernard,0.015,41.156,41.156
Joyner,0.014,41.17,41.170
Stein,0.014,41.184,41.184
Aguirre,0.014,41.198,41.198
Osborn,0.014,41.212,41.212
Mercer,0.014,41.226,41.226
Bender,0.014,41.24,41.240
